团队等级,公会任务品质
teamLv,missionModule
int,string
1,101#20;201#20;301#20;401#20;102#5;202#5;302#5;402#5
2,101#20;201#20;301#20;401#20;102#5;202#5;302#5;402#5
3,101#20;201#20;301#20;401#20;102#5;202#5;302#5;402#5
4,101#20;201#20;301#20;401#20;102#5;202#5;302#5;402#5
5,101#20;201#20;301#20;401#20;102#5;202#5;302#5;402#5
6,101#20;201#20;301#20;401#20;102#5;202#5;302#5;402#5
7,101#20;201#20;301#20;401#20;102#5;202#5;302#5;402#5
8,101#20;201#20;301#20;401#20;102#5;202#5;302#5;402#5
9,101#20;201#20;301#20;401#20;102#5;202#5;302#5;402#5
10,101#20;201#20;301#20;401#20;102#5;202#5;302#5;402#5
11,101#20;201#20;301#20;401#20;102#5;202#5;302#5;402#5
12,101#20;201#20;301#20;401#20;102#5;202#5;302#5;402#5
13,101#20;201#20;301#20;401#20;102#5;202#5;302#5;402#5
14,101#20;201#20;301#20;401#20;102#5;202#5;302#5;402#5
15,101#20;201#20;301#20;401#20;102#5;202#5;302#5;402#5
16,101#20;201#20;301#20;401#20;102#5;202#5;302#5;402#5
17,101#20;201#20;301#20;401#20;102#5;202#5;302#5;402#5
18,101#20;201#20;301#20;401#20;102#5;202#5;302#5;402#5
19,101#20;201#20;301#20;401#20;102#5;202#5;302#5;402#5
20,101#20;201#20;301#20;401#20;102#5;202#5;302#5;402#5
21,101#20;201#20;301#20;401#20;102#5;202#5;302#5;402#5
22,101#20;201#20;301#20;401#20;102#5;202#5;302#5;402#5
23,101#20;201#20;301#20;401#20;102#5;202#5;302#5;402#5
24,101#20;201#20;301#20;401#20;102#5;202#5;302#5;402#5
25,101#20;201#20;301#20;401#20;102#5;202#5;302#5;402#5
26,101#20;201#20;301#20;401#20;102#5;202#5;302#5;402#5
27,101#20;201#20;301#20;401#20;102#5;202#5;302#5;402#5
28,101#20;201#20;301#20;401#20;102#5;202#5;302#5;402#5
29,101#20;201#20;301#20;401#20;102#5;202#5;302#5;402#5
30,101#20;201#20;301#20;401#20;102#5;202#5;302#5;402#5
31,101#10;201#10;301#10;401#10;102#10;202#10;302#10;402#10;103#5;203#5;303#5;403#5
32,101#10;201#10;301#10;401#10;102#10;202#10;302#10;402#10;103#5;203#5;303#5;403#5
33,101#10;201#10;301#10;401#10;102#10;202#10;302#10;402#10;103#5;203#5;303#5;403#5
34,101#10;201#10;301#10;401#10;102#10;202#10;302#10;402#10;103#5;203#5;303#5;403#5
35,101#10;201#10;301#10;401#10;102#10;202#10;302#10;402#10;103#5;203#5;303#5;403#5
36,101#10;201#10;301#10;401#10;102#10;202#10;302#10;402#10;103#5;203#5;303#5;403#5
37,101#10;201#10;301#10;401#10;102#10;202#10;302#10;402#10;103#5;203#5;303#5;403#5
38,101#10;201#10;301#10;401#10;102#10;202#10;302#10;402#10;103#5;203#5;303#5;403#5
39,101#10;201#10;301#10;401#10;102#10;202#10;302#10;402#10;103#5;203#5;303#5;403#5
40,101#10;201#10;301#10;401#10;102#10;202#10;302#10;402#10;103#5;203#5;303#5;403#5
41,101#10;201#10;301#10;401#10;102#10;202#10;302#10;402#10;103#5;203#5;303#5;403#5
42,101#10;201#10;301#10;401#10;102#10;202#10;302#10;402#10;103#5;203#5;303#5;403#5
43,101#10;201#10;301#10;401#10;102#10;202#10;302#10;402#10;103#5;203#5;303#5;403#5
44,101#10;201#10;301#10;401#10;102#10;202#10;302#10;402#10;103#5;203#5;303#5;403#5
45,101#10;201#10;301#10;401#10;102#10;202#10;302#10;402#10;103#5;203#5;303#5;403#5
46,101#10;201#10;301#10;401#10;102#10;202#10;302#10;402#10;103#5;203#5;303#5;403#5
47,101#10;201#10;301#10;401#10;102#10;202#10;302#10;402#10;103#5;203#5;303#5;403#5
48,101#10;201#10;301#10;401#10;102#10;202#10;302#10;402#10;103#5;203#5;303#5;403#5
49,101#10;201#10;301#10;401#10;102#10;202#10;302#10;402#10;103#5;203#5;303#5;403#5
50,101#10;201#10;301#10;401#10;102#10;202#10;302#10;402#10;103#5;203#5;303#5;403#5
51,101#5;201#5;301#5;401#5;102#10;202#10;302#10;402#10;103#10;203#10;303#10;403#10
52,101#5;201#5;301#5;401#5;102#10;202#10;302#10;402#10;103#10;203#10;303#10;403#10
53,101#5;201#5;301#5;401#5;102#10;202#10;302#10;402#10;103#10;203#10;303#10;403#10
54,101#5;201#5;301#5;401#5;102#10;202#10;302#10;402#10;103#10;203#10;303#10;403#10
55,101#5;201#5;301#5;401#5;102#10;202#10;302#10;402#10;103#10;203#10;303#10;403#10
56,101#5;201#5;301#5;401#5;102#10;202#10;302#10;402#10;103#10;203#10;303#10;403#10
57,101#5;201#5;301#5;401#5;102#10;202#10;302#10;402#10;103#10;203#10;303#10;403#10
58,101#5;201#5;301#5;401#5;102#10;202#10;302#10;402#10;103#10;203#10;303#10;403#10
59,101#5;201#5;301#5;401#5;102#10;202#10;302#10;402#10;103#10;203#10;303#10;403#10
60,101#5;201#5;301#5;401#5;102#10;202#10;302#10;402#10;103#10;203#10;303#10;403#10
61,101#5;201#5;301#5;401#5;102#10;202#10;302#10;402#10;103#10;203#10;303#10;403#10
62,101#5;201#5;301#5;401#5;102#10;202#10;302#10;402#10;103#10;203#10;303#10;403#10
63,101#5;201#5;301#5;401#5;102#10;202#10;302#10;402#10;103#10;203#10;303#10;403#10
64,101#5;201#5;301#5;401#5;102#10;202#10;302#10;402#10;103#10;203#10;303#10;403#10
65,101#5;201#5;301#5;401#5;102#10;202#10;302#10;402#10;103#10;203#10;303#10;403#10
66,101#2;201#2;301#2;401#2;102#5;202#5;302#5;402#5;103#13;203#13;303#13;403#13;104#5;204#5;304#5;404#5
67,101#2;201#2;301#2;401#2;102#5;202#5;302#5;402#5;103#13;203#13;303#13;403#13;104#5;204#5;304#5;404#5
68,101#2;201#2;301#2;401#2;102#5;202#5;302#5;402#5;103#13;203#13;303#13;403#13;104#5;204#5;304#5;404#5
69,101#2;201#2;301#2;401#2;102#5;202#5;302#5;402#5;103#13;203#13;303#13;403#13;104#5;204#5;304#5;404#5
70,101#2;201#2;301#2;401#2;102#5;202#5;302#5;402#5;103#13;203#13;303#13;403#13;104#5;204#5;304#5;404#5
71,101#2;201#2;301#2;401#2;102#5;202#5;302#5;402#5;103#13;203#13;303#13;403#13;104#5;204#5;304#5;404#5
72,101#2;201#2;301#2;401#2;102#5;202#5;302#5;402#5;103#13;203#13;303#13;403#13;104#5;204#5;304#5;404#5
73,101#2;201#2;301#2;401#2;102#5;202#5;302#5;402#5;103#13;203#13;303#13;403#13;104#5;204#5;304#5;404#5
74,101#2;201#2;301#2;401#2;102#5;202#5;302#5;402#5;103#13;203#13;303#13;403#13;104#5;204#5;304#5;404#5
75,101#2;201#2;301#2;401#2;102#5;202#5;302#5;402#5;103#13;203#13;303#13;403#13;104#5;204#5;304#5;404#5
76,102#2;202#2;302#2;402#2;103#5;203#5;303#5;403#5;104#10;204#10;304#10;404#10;105#8;205#8;305#8;405#8
77,102#2;202#2;302#2;402#2;103#5;203#5;303#5;403#5;104#10;204#10;304#10;404#10;105#8;205#8;305#8;405#8
78,102#2;202#2;302#2;402#2;103#5;203#5;303#5;403#5;104#10;204#10;304#10;404#10;105#8;205#8;305#8;405#8
79,102#2;202#2;302#2;402#2;103#5;203#5;303#5;403#5;104#10;204#10;304#10;404#10;105#8;205#8;305#8;405#8
80,102#2;202#2;302#2;402#2;103#5;203#5;303#5;403#5;104#10;204#10;304#10;404#10;105#8;205#8;305#8;405#8
81,102#2;202#2;302#2;402#2;103#5;203#5;303#5;403#5;104#10;204#10;304#10;404#10;105#8;205#8;305#8;405#8
82,102#2;202#2;302#2;402#2;103#5;203#5;303#5;403#5;104#10;204#10;304#10;404#10;105#8;205#8;305#8;405#8
83,102#2;202#2;302#2;402#2;103#5;203#5;303#5;403#5;104#10;204#10;304#10;404#10;105#8;205#8;305#8;405#8
84,102#2;202#2;302#2;402#2;103#5;203#5;303#5;403#5;104#10;204#10;304#10;404#10;105#8;205#8;305#8;405#8
85,102#2;202#2;302#2;402#2;103#5;203#5;303#5;403#5;104#10;204#10;304#10;404#10;105#8;205#8;305#8;405#8
86,103#2;203#2;303#2;403#2;104#5;204#5;304#5;404#5;105#10;205#10;305#10;405#10;106#8;206#8;306#8;406#8
87,103#2;203#2;303#2;403#2;104#5;204#5;304#5;404#5;105#10;205#10;305#10;405#10;106#8;206#8;306#8;406#8
88,103#2;203#2;303#2;403#2;104#5;204#5;304#5;404#5;105#10;205#10;305#10;405#10;106#8;206#8;306#8;406#8
89,103#2;203#2;303#2;403#2;104#5;204#5;304#5;404#5;105#10;205#10;305#10;405#10;106#8;206#8;306#8;406#8
90,103#2;203#2;303#2;403#2;104#5;204#5;304#5;404#5;105#10;205#10;305#10;405#10;106#8;206#8;306#8;406#8
91,103#2;203#2;303#2;403#2;104#5;204#5;304#5;404#5;105#10;205#10;305#10;405#10;106#8;206#8;306#8;406#8
92,103#2;203#2;303#2;403#2;104#5;204#5;304#5;404#5;105#10;205#10;305#10;405#10;106#8;206#8;306#8;406#8
93,103#2;203#2;303#2;403#2;104#5;204#5;304#5;404#5;105#10;205#10;305#10;405#10;106#8;206#8;306#8;406#8
94,103#2;203#2;303#2;403#2;104#5;204#5;304#5;404#5;105#10;205#10;305#10;405#10;106#8;206#8;306#8;406#8
95,103#2;203#2;303#2;403#2;104#5;204#5;304#5;404#5;105#10;205#10;305#10;405#10;106#8;206#8;306#8;406#8
96,104#5;204#5;304#5;404#5;105#10;205#10;305#10;405#10;106#10;206#10;306#10;406#10
97,104#5;204#5;304#5;404#5;105#10;205#10;305#10;405#10;106#10;206#10;306#10;406#10
98,104#5;204#5;304#5;404#5;105#10;205#10;305#10;405#10;106#10;206#10;306#10;406#10
99,104#5;204#5;304#5;404#5;105#10;205#10;305#10;405#10;106#10;206#10;306#10;406#10
100,104#5;204#5;304#5;404#5;105#10;205#10;305#10;405#10;106#10;206#10;306#10;406#10
